"Station Name","OSI/NI No","Eastings","Northings","Height","FB Sort","FB No","Date built","Ord","DR","Grid Ref","Notes"
"Killead","OSNI",317280,379750,121,,2095,"tbc",3,".014","J 172 797",
"Annacloghmullin","OSNI",298800,324800,290,,2096,"tbc",3,".028","H 988 248",
"Lissummon","OSNI",304460,334560,195,,3001,"OSNI",2,".029","J 044 345",
"Carrigatuke","P14 OSNI",290343.468,332086.811,365,,3002,"OSNI",1,".028 .128","H 903 320",
"Ballynafoy","OSNI",314720,340230,180,,3003,"tbc",3,".020","J 147 402","H"
"Shanes Hill","OSNI",306390,353210,92,,3004,"OSNI",2,".020","J 063 532",
"Saval Beg","OSNI",312040,330090,101,,3005,"OSNI",3,".029","J 120 300",
"Carmeen","OSNI",318070,326110,361,,3006,"OSNI",3,".029","J 180 261",
"Lazy Hill","OSNI",329606,312885,"H",,3007,,2,".029","J 296 128","H"
"Hillhead","OSNI",334170,318880,85,,3008,"SB418745",3,".029","J 341 188",
"Slieve Na Slat","OSNI",333060,337600,272,,3009,"SB423932",3,".029","J 330 376","G"
"Dechomet","OSNI",325180,342380,318,,3010,,3,".020","J 251 423",
"Whitish Hill","OSNI",345810,400230,90,,3011,"NW604545",3,".009","D 458 002",
"Mullaghpeak","OSNI",268600,340900,"H",,3012,,3,".019 .128","H 686 409","U"
"Coolberrin","OSNI",261312,347614,216,,3013,,2,".019 .128","H 613 476",
"Ballylumford","OSNI",342930,401720,60,,3014,,3,".009","D 429 017",
"Carninard","OSNI",331480,398320,366,,3015,,2,".009","J 314 983",
"Slieve Martin","OSNI",320110,317640,485,,3016,,2,".029 .136","J 201 176",
"Slieve Muck","OSNI",328100,324990,674,,3017,"SB363811",3,".029","J 281 249",
"Ballysheil","OSNI",302310,342310,121,,3018,,3,".020","J 023 423",
"Carncormick","OSNI",316910,414330,436,,3019,,3,".009","D 169 143",
"Berk Hill","OSNI",310740,407670,154,,3020,,3,".009","D 107 076","X"
"Fairview","OSNI",314260,400540,128,,3021,,3,".009","D 142 005",
"Carnearny","OSNI",317626,392706,145,,3022,,3,".014","J 176 927",
"Battery Hill","OSNI",303960,393860,145,,3023,,3,".014","J 039 938",
"Drumhirk","OSNI",346050,365700,75,,3024,,3,".015 .021","J 460 657",
"Cronstown","OSNI",351440,375830,61,,3025,,3,".015","J 514 758",
"Carys Fort","OSNI",343280,354470,90,,3026,,3,".021","J 432 544",
"Mullyard","OSNI",279930,331090,222,,3027,,3,".028 .128","H 799 310",
"Aughrim Hill","OSNI",296500,392100,30,,3028,,3,".014","H 965 921",
"Lyles Hill","OSNI",324780,382840,227,,3029,,3,".014","J 247 828",
"Cannon Hill","OSNI",290990,349350,78,,3030,,2,".019 .028","H 909 493",
"Slush Hill","OSNI",238770,336210,162,,3032,,3,".027","H 387 362",
"Ballyness","OSNI",246140,353560,288,,3033,,3,".018","H 461 535",
"Natroy","OSNI",250050,346400,297,,3034,,2,".028 .128","H 500 464",
"Topped","OSNI",231130,345750,277,,3035,,3,".018","H 311 457",
"Brougher","P? OSNI",234930.3,352784.8,317,,3036,"c1950",1,".018","H 349 527",
"Tullyheeran","OSNI",249460,366490,120,,3037,,3,".018","H 494 664",
"Keeran Moat","OSNI",224500,361290,180,,3038,,3,".017 .018","H 245 612",
"Mossfield","OSNI",233350,362590,158,,3039,,3,".018","H 333 625",
"Cranny","OSNI",242200,363350,124,,3040,,3,".018","H 422 633",
"Pollnalaght","OSNI",236950,370090,291,,3041,,3,".012","H 369 700",
"Listullyard Fort","OSNI",310130,346850,152,,3042,,3,".020","J 101 468",
"Branny Hill","OSNI",268150,355530,197,,3043,,3,".019","H 681 555",
"Knockadoney","OSNI",311250,362090,55,,3044,,3,".020","J 112 620",
"Crocketts Hill","OSNI",297930,355050,50,,3045,,3,".019","H 979 550",
"Sallys Hill","OSNI",316330,356510,130,,3046,,3,".020","J 163 565",
"Ashtree Hill","OSNI",300150,346440,70,,3047,,3,".020","J 001 464",
"Kings Ring","OSNI",296990,334430,195,,3048,,3,".028","H 969 344",
"Black Hill","OSNI",332920,410740,381,,3049,,2,".009","D 329 107",
"Carnanmore","OSNI",321780,438770,379,,3050,,2,".005","D 217 387",
"Scudion Craig","OSNI",289280,438890,132.04,,3051,,2,".004","C 892 388",
"Black Mountain South","OSNI",328420,373000,360,,3052,,3,".015","J 284 730",
"Carnmoney Hill","OSNI",333220,383050,232,,3053,,3,".015","J 332 830",
"White Mountain","OSNI",323898,367912,"H",,3054,,3,".020","J 238 679","X  H"
"McArt's Fort","OSNI",332530,379610,"H",,3055,,3,".015","J 325 796","X  H"
"Trostan","P05 OSNI",317956.489,423593.228,550,,3056,"NW346802",1,".009","D 179 235",
"Black Mountain North","OSNI",329360,374850,390,,3057,,3,".015","J 293 748","E"
"Carnaghliss","OSNI",328520,378350,335,,3058,,3,".015","J 285 783",
"Squire's Hill","OSNI",330463,378898,374,,3059,,3,".015","J 304 788",
"Knockbreda New","OSNI",335950,370050,127,,3060,,3,".015","J 359 700","E"
"Casaeldona","OSNI",337410,371260,119,,3061,,3,".015","J 374 712",
"Laghey Barr / Oughtarnid","OSNI",198700,373000,271,,3062,,3,".111","G 987 730",
"Craigantlet","OSNI",340038,375784,140,,3063,,3,".015","J 400 757",
"Scalp Mountain","OSNI",240685.884,426962.495,478,,3064,"1950s",2,".007","C 406 269",
"Drumbad","OSNI",200930,354890,300,,3065,,2,".017","H 009 548",
"Cullen Hill","OSNI",216480,350990,194,,3066,,2,".017","H 164 509",
"Knockninny","OSNI",227330,330140,190,,3067,,2,".027","H 273 301",
"Binevenagh","OSNI",269192,430160,385,,3068,,2,".004","C 691 301",
"Craiggore","OSNI",275440,417670,388,,3069,,2,".008","C 754 176",
"Slieve Kirk","OSNI",245170,408330,370,,3070,,2,".007","C 451 083",
"Loughermore","OSNI",258870,415640,396,,3071,,2,".007","C 588 156",
"Knockavoe","OSNI",237290,397580,294,,3072,,2,".012","H 372 975",
"Bessy Bell","OSNI",239060,382080,420,,3073,"NV523455",2,".012","H 390 820",
"Legmurn","OSNI",287510,371740,132,,3074,,2,".014","H 875 717",
"Carntogher","OSNI",279630,406080,"h",,3075,,2,".008","C 796 060","X"
"Cappagh Mountain","OSNI",267840,366430,280,,3076,,2,".019","H 678 664",
"Slievemore","OSNI",259339,361589,367,,3077,,2,".018","H 593 615","X"
"Cloghmore","OSNI",255380,331420,92,,3078,,3,".027 .128","H 553 314",
"Sheepwalk","OSNI",247010,322440,65,,3079,,3,".027 .128","H 470 224",
"Carrowmaculla","OSNI",243070,334390,271,,3080,,3,".027","H 430 343",
"Carneyhome","OSNI",244490,328880,111,,3081,,3,".027 .127","H 444 288",
"Cloghcor New","OSNI",229550,340500,"H",,3082,,3,".018","H 295 405","H"
"Breagho","OSNI",226410,348400,161,,3083,,3,".017 .018","H 264 484",
"Kinmore","OSNI",232830,333060,53,,3084,,3,".027","H 328 330",
"Dooch Rock","OSNI",223310,369660,202,,3085,,2,".017 .018","H 233 696",
"Standard Hill","OSNI",341610,377480,199,,3086,,3,".015","J 416 774",
"Slieve Donard (New)","P15 OSNI",335787.465,327685.677,849,,3087,"OSNI",1,".029","J 357 276",
"Ballycowan","OSNI",333990,366160,132,,3088,,3,".015 .020","J 339 661",
"Cormonalea","OSNI",238600,331450,122,,3133,,3,".027","H 386 314",
"Corradillar","OSNI",233360,328110,,,3134,,3,".027 .127","H 333 281",
"Listersee","OSNI",241700,338030,270,,3135,,3,".027","H 417 380",
"Hazelbank","OSNI",238600,341930,99,,3136,,3,".018","H 386 419",
"Lislea","OSNI",233930,341150,,,3137,,3,".018","H 339 411",
"Altagoaghan","OSNI",248160,340370,292,,3138,,3,".018 .128","H 481 403",
"Tattynagolan","OSNI",248770,330950,103,,3139,,3,".027 .128","H 487 309",
"Foglish","OSNI",244940,344790,150,,3140,,3,".018","H 449 447",
"Carrownagiltagh","OSNI",236140,345860,110,,3141,,3,".018","H 361 458",
"Cabragh New","OSNI",226950,356680,138,,3142,,3,".017 .018","H 269 566",
"Moynaghan / Clues Long","OSNI",220400,355200,95,,3143,,3,".017 .018","H 204 552",
"Formil","OSNI",216310,368450,173,,3144,,3,".017","H 163 684",
"Banagher","OSNI",219480,347870,123,,3145,,3,".017","H 194 478",
"Ballaghmore","OSNI",221120,343890,97,,3146,,3,".017 .018","H 211 438",
"Tonymore","OSNI",232640,320410,66,,3147,,3,".027 .127","H 326 204",
"Slieve Gullion","OSNI",302470,320320,576,,3148,,2,".029 .136","J 024 203",
"Killinakin","OSNI",351430,361350,60,,3149,,3,".021","J 514 613",
"Bishops Mountain","OSNI",340750,346450,123,,3151,,3,".021","J 407 464",
"Babylon","OSNI",219480,347870,130,,3152,,3,".020","J 043 428",
"Doon","OSNI",224850,325220,325,,3154,,3,".027 .127","H 248 252",
"Cullentragh","OSNI",208480,336050,275,,3155,,3,".026 .126","H 084 360",
"Benaughlin","OSNI",217780,331430,"h",,3156,,3,".026 .126","H 177 314",
"Belmore Mountain","OSNI",213850,341760,398,,3157,,3,".017","H 138 417",
"Springtown","OSNI",221810,327880,"h",,3158,,3,".027 .127","H 218 278","H"
"Drumbrughas","OSNI",223506,335219,63,,3159,,3,".027","H 235 352",
"Croaghrim","OSNI",217800,336290,70,,3160,,3,".026 .126","H 178 362",
"Carney Hill","OSNI",222550,338480,90,,3161,,3,".027","H 225 384",
"Knockmore","OSNI",208810,350400,280,,3162,,3,".017","H 088 504",
"Boa Island","OSNI",212150,363530,72,,3163,"tbc",3,".017","H 121 635",
"Derrynacross","OSNI",191360,356140,82,,3164,,3,".017 .116","G 913 561",
"Derrin","OSNI",206300,364150,171,,3165,,3,".017 .111","H 063 641",
"Scribbagh","OSNI",198720,348490,153,,3166,,3,".017","G 987 484",
"Bressy Hill","OSNI",197600,363600,251,,3167,,3,".017","G 976 636",
"Meenawargy","OSNI",204070,341520,133,,3169,,3,".017","H 040 415",
"Aughrim Rock","OSNI",209420,339370,"h",,3170,,3,".026 .126","H 094 393","H"
"Tullygarran","OSNI",204330,343240,193,,3171,,3,".017","H 043 432",
"Crott","OSNI",214450,347260,105,,3172,,3,".017","H 144 472",
"Ora More","OSNI",206990,343250,252,,3173,,3,".017","H 069 432",
"Tullygerravra","OSNI",201540,347180,181,,3174,,3,".017","H 015 471",
"Drumcrow (New)","OSNI",204010,358080,60,,3175,,3,".017","H 040 580",
"Caldrum Hill","OSNI",212170,353710,123,,3176,,3,".017","H 121 537",
"Drumreask","OSNI",210420,357280,129,,3177,,3,".017","H 104 572",
"Mullaghcarn","OSNI",251040,380970,542,,3178,1-Oct-54,2,".013","H 510 809",
"Slieve Gallion","OSNI",279850,387790,528,,3179,,2,".013","H 798 877",
"Divis","P08 OSNI",328077.5,375479.191,478,,3211,"tbc",1,".015","J 280 754","F2"
"Fathom","OSBM",309140,322050,247,,3454,"OSNI",3,".029","J 091 220","F2"
"Ballycultra","OSBM",341990,379310,132,,3463,"OSNI",3,".015","J 419 931",
"Slimero","OSBM",338921,393692,289,,3464,"OSNI",3,".015","J 389 936",
"Willy's Wood Island","OSBM",355130,378210,41,,3475,"1950s",3,".015","J 551 782","X"
"Knockiveagh","OSBM",318230,337790,236,,3515,"tbc",3,".029","J 182 377","F2"
"Cluidaniller","OSI",166100,416000,226,,"u101","Hotine",,".001","B 661 160",
"Moylemore","OSI",170900,423100,102,,"u102",,,".001","B 709 231",
"Croaghegly","OSI",173600,407300,245,,"u103","Hotine",,".001","B 736 073",
"Annagary Hill","OSI",179500,418700,106,,"u104",,,".001","B 795 187",
"Dunglow","OSI",181600,408700,"h",,"u105","mini pillar",,".001","B 816 087","H"
"Bloody Foreland","OSI",183300,432200,314,,"u106",,,".001","B 833 322",
"Tievealehid","OSI",187292,426154,429,,"u106.2",,,".001","B 872 261","Q"
"Tory Island","OSI",187700,446100,88,,"u107",,,".001","B 877 461",
"Errigal","P03 OSI",192821.67,420770.51,750.7,,"u108","tbc",1,".001","B 928 207","X"
"Muckish","OSI",200400,428700,"h",,"u109",,,".002","C 004 287",
"Croaghnamaddy","OSI",202800,440200,252,,"u110",,,".002","C 028 402",
"Ganiamore","OSI",211100,440000,207,,"u111",,,".002","C 111 400",
"Loughsalt Mountain","OSI",213317,426483,469,,"u112",,,".002","C 133 264",
"Crockanaffrin","OSI",224000,424000,344,,"u113",,,".002","C 240 294",
"Inch Top","OSI",231300,431300,222,,"u114",,,".002","C 313 252",
"Raghtin More (Raghtin Top)","OSI",233800,433800,502,,"u115",,,".002","C 338 455",
"Beam","OSI",235900,439000,326,,"u116",,,".002","C 359 390",
"Coolcross Hill",,240500,440600,291,,"u117",,,".003","C 405 469",
"Middle Town",,240500,440500,109,,"u118",,,".003","C 405 579",
"Crocklough",,246000,446000,282,,"u119",,,".003","C 460 567",
"Creehennan Hill",,250200,435800,351,,"u120",,,".003","C 502 358",
"Crockroosky",,250300,442300,282,,"u121",,,".003","C 503 423",
"Bishops Hill",,254800,448400,110,,"u122",,,".003","C 548 484",
"Crockaulin",,262500,442000,325,,"u123",,,".003","C 625 420",
"South Base Tower",,263400,422000,24,,"u124",,,".004","C 634 220",
"Minearny Base Tower",,265900,430500,4,,"u125",,,".004","C 659 305",
"North Base Tower",,267000,434300,3,,"u126",,,".004","C 670 343",
"Gregory Hill",,211600,412300,336,,"u127",,,".006","C 116 123",
"Mongorry Hill",,224200,405000,284,,"u128",,,".006","C 242 050",
"Holywell Hill",,238550,416970,254,,"u129",,,".007","C 385 169",
"Slieve League","P06 OSI",154410,378431,595,,"u130","tbc",1,".010","G 544 784",
"Meenacurrin","OSI",162900,389900,511,,"u131",,,".010","G 629 899",
"Crownarad",,167600,378600,493,,"u132",,,".010","G 676 786",
"Dunhore Hill",,168700,399800,128,,"u133",,,".010","G 687 998",
"Saint Johns Point",,170600,369100,33,,"u134",,,".010","G 706 691",
"Common Mountain","OSI",170900,385900,501,,"u135",,,".010","G 709 859","O"
"Toome Hill",,178900,401800,172,,"u136",,,".010","B 789 018",
"Glencoagh",,187800,379000,153,,"u137",,,".011","G 878 790",
"Lurgan",,189800,367200,147,,"u138",,,".011","G 898 672",
"Croaghgorm",,194800,389600,674,,"u139","bolt?",,".011","G 948 896",
"Oughtarnid",,198700,373000,271,,"u140",,,".011","G 987 730",
"Croaghconnellagh",,202300,386300,523,,"u141",,,".011","H 023 863",
"Croaghnameal",,203700,379200,438,,"u142",,,".011","H 037 792",
"Benbulbin",,169200,346300,526,,"u143",,,".016","G 692 463",
"Mullaghmore",,170300,357800,67,,"u144",,,".016","G 703 578",
"Truskmore","P09 OSI",175897,347344,647,,"u145","tbc",1,".016","G 758 473","NoFB"
"Leean Mountain",,180600,338800,417,,"u146",,,".016","G 806 388",
"Arroo",,183300,352000,523,,"u147",,,".016","G 833 520",
"Aghla Mountain","OSI",189691,398894,390,,"u147.2",,,".011","G 896 988","Q"
"Rowantreehill",,191700,358900,92,,"u148",,,".016","G 917 589",
"Doagh Mountain",,193500,342400,459,,"u149",,,".016","G 935 424",
"Creeve Hill",,240300,348200,145,,"u150",,,".018","H 403 482",
"Clogher",,325580,356080,173,,"u151",,,".020","J 255 560",
"Slievemore (in Achill)","P16 OSI",65031,308666,671,,"u152","tbc",1,".022","F 650 086","NoFB"
"Errishead",,69900,340500,82,,"u153",,,".022","F 699 405",
"Knocklettercuss",,87600,319800,370,,"u154",,,".023","F 876 198",
"Slieve Carr (Slieve Cor)",,91500,314500,721,,"u155",,,".023","F 915 145",
"Slieve Fyagh",,91900,328300,331,,"u156",,,".023","F 919 283",
"Tawnaghmore","P10 OSI",93962,339534,340,,"u157","tbc",1,".023","F 959 395",
"Maumakeogh",,103600,336800,379,,"u158",,,".023","G 036 368",
"Carrowkeel",,109000,317500,74,,"u159",,,".023","G 090 175",
"Nephin","P17 OSI",110344,307971,806,,"u160","tbc",1,".023","G 103 079",
"Garranard",,111800,326300,58,,"u161",,,".023","G 118 263",
"Rathlackan (Knockboha)",,114800,338600,186,,"u162",,,".023","G 148 386",
"Knockanillaun",,119800,319500,66,,"u163",,,".024","G 198 195",
"Corroy",,122900,313200,38,,"u164",,,".024","G 229 132",
"Corbally South",,129100,324300,68,,"u165",,,".024","G 291 243",
"Ballinteane",,131700,330700,79,,"u166",,,".024","G 317 307",
"Kylestown",,132200,337300,29,,"u167",,,".024","G 322 373",
"Knocknasliggaun",,137100,315600,417,,"u168",,,".024","G 371 156",
"Carrownabinny",,140700,337100,69,,"u169",,,".024","G 407 371",
"Loughannaloran",,147400,324400,512,,"u170",,,".024","G 474 244",
"Tullymoy",,147800,310400,77,,"u171",,,".024","G 478 104",
"Knockalongy","P11 OSI",150425,327510,544,,"u172","OSI",1,".025","G 504 275",
"Knocknashee",,155600,319100,276,,"u173",,,".025","G 556 191",
"Carrowkeel",,156600,311500,151,,"u174",,,".025","G 566 115",
"Doomore",,160900,327400,272,,"u175",,,".025","G 609 274",
"Knocknarea",,162600,334600,327,,"u176",,,".025","G 626 346",
"Carrickbanagher",,167600,320800,157,,"u177",,,".025","G 676 208",
"Carns",,170300,333900,123,,"u178",,,".025","G 703 339",
"Slieve Daeane",,171200,329900,275,,"u179",,,".025","G 712 299",
"Kesh Corran",,171300,312600,359,,"u180",,,".025","G 713 126",
"Barroe North",,180300,315500,226,,"u181",,,".025","G 803 155",
"Carran Hill",,184400,320600,458,,"u182",,,".025","G 844 206","O"
"Teebane",,199700,333800,441,,"u183",,,".026","G 997 338",
"Lisroughty",,216100,314200,100,,"u184",,,".026","H 161 142",
"Slieve Anierin",,201800,315900,585,,"u185",,,".026","H 018 159",
"Slievenakilla (The Playbank)",,203300,325800,543,,"u186",,,".026","H 033 258",
"Ballyneary",,238800,312500,101,,"u187",,,".027","H 388 125",
"Bocade Glebe",,272600,314800,109,,"u188",,,".027","H 726 148",
"Kilmore East",,260900,335600,104,,"u189",,,".028","H 609 356",
"Farvrega (Tattintlieve)",,263500,326700,215,,"u190",,,".028","H 635 267",
"Tievenaveagh",,263900,313500,184,,"u191",,,".028","H 639 135",
"Criggy (Tirnaneill)",,268000,337300,98,,"u192",,,".028","H 680 373",
"Feragh",,269100,329000,194,,"u193",,,".028","H 691 290",
"Corvoy",,271800,324800,167,,"u194",,,".028","H 718 248",
"Bannanimma (Carrickaveilty)",,272600,314800,270,,"u195",,,".028","H 726 148",
"Crossmore",,277200,328400,183,,"u196",,,".028","H 772 284",
"Corderryduff",,278600,318800,192,,"u197",,,".028","H 786 188",
"Lisnagreeve",,281500,325600,194,,"u198",,,".028","H 815 256",
"Black Mountain",,309900,315700,508,,"u199",,,".029","J 099 157",
"Slieve Foye",,316900,312000,588,,"u200",,,".029","J 169 120",
"Knockmore","OSI",66900,286100,462,,"u201",,,".030","L 669 861",
"Corraun Hill","OSI",75400,296000,524,,"u202",,,".030","L 754 960",
"Corranabinnia (Corranabinna Lo","OSI",90300,303100,716,,"u203",,,".030","F 903 031",
"Croagh Patrick","OSI",90600,280200,764,,"u204",,,".030","L 906 802","X"
"Claggan","OSI",93900,289100,53,,"u205",,,".031","L 939 891",
"Birreencorragh","OSI",102500,304900,698,,"u206",,,".031","G 025 049",
"Croaghmoyle","OSI",109800,298200,430,,"u207",,,".031","M 098 982",
"Farbreiga","OSI",117000,302500,395,,"u208",,,".031","G 170 025",
"Carranaragh","OSI",128300,302500,195,,"u209",,,".031","G 283 925",
"Cuillalea","OSI",129700,288100,262,,"u210",,,".031","M 297 881",
"Knock","OSI",138900,282500,127,,"u211",,,".032","M 389 825",
"Kilbride","OSI",139600,299000,132,,"u212",,,".032","M 396 990",
"Knock International Airport","OSI",147100,296400,213,,"u213",,,".032","M 471 964",
"Boleyboy","OSI",148300,287500,160,,"u214",,,".032","M 483 875",
"Cloonakillina","OSI",159800,306300,102,,"u215",,,".032","G 598 063",
"Kiltybranks","OSI",160200,291600,97,,"u216",,,".032","M 602 916",
"Bockagh","P18 OSI",160228,298683,227,,"u217","OSI",1,".032","M 602 986",
"Breanamore","OSI",160800,284200,107,,"u218",,,".032","M 608 842",
"Fairymount Hill","OSI",167900,288200,196,,"u219",,,".032","M 679 882",
"Mullaghthee","OSI",168200,301200,179,,"u220",,,".032","G 682 012",
"Killerdoo","OSI",175800,296500,98,,"u221",,,".033","M 758 965",
"Rathkineely","OSI",176700,284700,161,,"u222",,,".033","M 767 847",
"Grallagh More","OSI",182600,300600,150,,"u223",,,".033","G 826 006",
"Cartroncaran","OSI",184100,291200,135,,"u224",,,".033","M 841 912",
"Knockacoran","OSI",189300,298200,118,,"u225",,,".033","M 893 982",
"Sheemore","OSI",190000,304800,178,,"u226",,,".033","G 900 048",
"Ballyformoyle","OSI",190900,308500,153,,"u227",,,".033","G 909 085",
"Greywood Hill","OSI",192300,285200,126,,"u228",,,".033","M 923 852",
"Knockavreacneen","OSI",196800,294800,74,,"u229",,,".033","M 968 948",
"Kilglass","OSI",199800,285100,153,,"u230",,,".033","M 998 851",
"Fearnaght","OSI",204200,293400,88,,"u231",,,".033","N 042 934",
"Lissagarvan","OSI",212500,305800,126,,"u232",,,".034","H 125 058",
"Lugganammer","OSI",218700,298100,190,,"u233",,,".034","N 187 981",
"Corn Hill","P19 OSI",218763,284214,278,,"u234","OSI",1,".034","N 187 842",
"Drumanure","OSI",224600,306300,111,,"u235",,,".034","H 246 063",
"Croft","OSI",224900,293800,212,,"u236",,,".034","N 249 938",
"Molly","OSI",225100,284800,192,,"u237",,,".034","N 251 848",
"Bruse Hill","OSI",231700,298100,260,,"u238",,,".034","N 317 981",
"Granard (Moatfield)","OSI",232900,280700,179,,"u239",,,".034","N 329 807",
"Corbaun","OSI",233800,288000,159,,"u240",,,".034","N 338 880",
"Flemings Folly","OSI",239100,299700,175,,"u241",,,".034","N 391 997",
"Slieve Glah","OSI",246200,300700,320,,"u242",,,".034","H 462 007",
"Shantemon","OSI",246400,307400,218,,"u243",,,".034","H 464 074",
"Creewood","OSI",292200,280200,215,,"u245",,,".036","N 922 802",
"Carrickykelly","OSI",293100,309300,110,,"u246",,,".036","H 931 093",
"Mullaghusher","OSI",298000,301800,59,,"u247",,,".036","H 980 018",
"Mount Oriel","OSI",298100,283100,251,,"u248",,,".036","N 981 831",
"Greenmount","OSI",305700,293200,54,,"u249",,,".036","O 057 932",
"Monasterboice","OSI",306600,281100,180,,"u250",,,".036","O 066 811",
"Haggardstown","OSI",306700,303800,29,,"u251",,,".036","J 067 038",
"Fieldstown Hill","OSI",307200,281400,187,,"u252",,,".036","O 072 814",
"Slievenaglogh","OSI",313600,308700,310,,"u253",,,".036","J 136 087",
"Castlecoe Hill","P21 OSI",314473,282963,105,,"u254","tbc",1,".036","O 144 829",
"Gortrumnagh","OSI",62800,251500,174,,"u255",,,".037","L 628 515",
"Tully Mountain","OSI",67200,261100,356,,"u256","NoFB",,".037","L 672 611",
"Mountain Common","OSI",60500,275100,191,,"u257","NoFB",,".037","L 605 751",
"Corrymailley","OSI",76700,271900,286,,"u258","NoFB",,".037","L 767 719",
"Cnoic Shíofra","OSI",86100,269400,762,,"u259",,,".037","L 861 694",
"Bencorr","OSI",81100,252200,711,,"u260",,,".037","L 811 522",
"Benbaun (Binn Bhán)","OSI",78500,253900,729,,"u261",,,".037","L 785 539",
"Maumtrasna","P22 OSI",97338,264469,673,,"u262","tbc",1,".038","L 973 644",
"Benlevy","OSI",105000,254900,416,,"u263","NoFB",,".038","M 050 549",
"Bohaun","OSI",107500,274600,393,,"u264",,,".038","M 075 746",
"Knockfereen","OSI",119300,263400,59,,"u265",,,".038","M 193 634",
"Cloonsaul","OSI",128500,278000,70,,"u266",,,".038","M 285 780",
"Kilmacenelly","OSI",132600,272800,100,,"u267",,,".039","M 326 728",
"Tullybeg","OSI",145000,257800,88,,"u268",,,".039","M 450 578",
